name,region_code,state_region_code
Techelsberg am Wörther See,204,2
Schiefling am Wörthersee,204,2
Deutsch Griffen,205,2
St. Veit an der Glan,205,2
Kraig,205,2
Meiselding,205,2
St. Georgen am Längsee,205,2
Launsdorf,205,2
Kappel am Krappfeld,205,2
Micheldorf,205,2
Treibach-Althofen,205,2
Guttaring,205,2
Lölling,205,2
Straßburg,205,2
Gurk,205,2
Zweinitz,205,2
Weitensfeld,205,2
Kleinglödnitz,205,2
Glödnitz,205,2
Friesach,205,2
St. Salvator,205,2
Grades,205,2
Metnitz,205,2
Brückl,205,2
Eberstein,205,2
Klein St. Paul,205,2
Wieting,205,2
Hüttenberg,205,2
Knappenberg,205,2
Liebenfels,205,2
Rothenthurn,206,2
Sachsenburg,206,2
Lind im Drautal,206,2
Steinfeld,206,2
Greifenburg,206,2
Weißensee,206,2
Berg im Drautal,206,2
Dellach,206,2
Irschen,206,2
Oberdrauburg,206,2
Spittal an der Drau,206,2
Baldramsdorf,206,2
Lendorf,206,2
Pusarnitz,206,2
Möllbrücke,206,2
Mühldorf,206,2
Kolbnitz,206,2
Penk,206,2
Obervellach,206,2
Mallnitz,206,2
Flattach,206,2
Stall,206,2
Rangersdorf,206,2
Winklern,206,2
Mörtschach,206,2
Großkirchheim,206,2
Heiligenblut,206,2
Lieserbrücke,206,2
Trebesing,206,2
Gmünd,206,2
Malta,206,2
Eisentratten,206,2
Kremsbrücke,206,2
Rennweg,206,2
Seeboden,206,2
Millstatt am See,206,2
Radenthein,206,2
Bad Kleinkirchheim,206,2
Villach-Drobollach am Faaker See,207,2
Ledenitzen,207,2
Latschach,207,2
Faak am See,207,2
Finkenstein,207,2
Gödersdorf,207,2
Fürnitz,207,2
Riegersdorf,207,2
Arnoldstein,207,2
Thörl-Maglern,207,2
Nötsch,207,2
St. Georgen im Gailtal,207,2
Feistritz an der Gail,207,2
Ferndorf,207,2
Feistritz an der Drau,207,2
Paternion,207,2
Fresach,207,2
Zlan,207,2
Stockenboi,207,2
Weißenstein,207,2
Gummern,207,2
Döbriach,207,2
Maria Elend,207,2
Rosenbach,207,2
St. Jakob im Rosental,207,2
Velden am Wörther See,207,2
Köstenberg,207,2
Rosegg,207,2
Wernberg,207,2
Sattendorf,207,2
Treffen,207,2
Bad Bleiberg,207,2
Kreuth,207,2
St. Egyden,207,2
Einöde,207,2
Afritz,207,2
Arriach,207,2
Feld am See,207,2
Völkermarkt,208,2
Mittertrixen,208,2
Diex,208,2
Haimburg,208,2
Griffen,208,2
Ruden,208,2
Tainach,208,2
St. Kanzian am Klopeiner See,208,2
St. Primus,208,2
Kühnsdorf,208,2
Gallizien,208,2
Sittersdorf,208,2
Bad Eisenkappel,208,2
Eberndorf,208,2
Globasnitz,208,2
St. Michael ob Bleiburg,208,2
Bleiburg,208,2
Neuhaus,208,2
Wolfsberg,209,2
St. Michael,209,2
St. Margarethen im Lavanttal,209,2
St. Gertraud,209,2
Eitweg,209,2
Maria Rojach,209,2
St. Georgen,209,2
St. Stefan,209,2
St. Andrä,209,2
Twimberg,209,2
Preitenegg,209,2
Prebl,209,2
Bad St. Leonhard im Lavanttal,209,2
Reichenfels,209,2
St. Paul im Lavanttal,209,2
Ettendorf,209,2
Lavamünd,209,2
Sirnitz,210,2
Bodensdorf,210,2
Steindorf am Ossiacher See,210,2
St. Urban,210,2
Glanegg,210,2
Feldkirchen in Kärnten,210,2
Himmelberg,210,2
Gnesau,210,2
Patergassen,210,2
Ebene Reichenau,210,2
Ossiach,210,2
Krems an der Donau,301,3
Krems-Hollenburg,301,3
St. Pölten,302,3
St. Pölten-Harland,302,3
St. Pölten-Radlberg,302,3
St. Pölten-Traisenpark,302,3
St. Georgen am Steinfelde,302,3
Waidhofen an der Ybbs,303,3
Wiener Neustadt,304,3
Amstetten,305,3
St. Georgen am Ybbsfelde,305,3
Zeillern,305,3
Oed,305,3
Wallsee,305,3
Strengberg,305,3
Ardagger,305,3
Viehdorf,305,3
Neustadtl an der Donau,305,3
Euratsfeld,305,3
Ferschnitz,305,3
Kematen,305,3
Rosenau am Sonntagberg,305,3
Böhlerwerk,305,3
Ybbsitz,305,3
Opponitz,305,3
Hollenstein an der Ybbs,305,3
St. Georgen am Reith,305,3
Haag,305,3
Weistrach,305,3
St. Peter in der Au,305,3
Seitenstetten,305,3
Wolfsbach,305,3
Ertl,305,3
Aschbach Markt,305,3
Mauer-Öhling,305,3
Ulmerfeld-Hausmening,305,3
Neuhofen an der Ybbs,305,3
Allhartsberg,305,3
St. Valentin,305,3
St. Pantaleon,305,3
Haidershofen,305,3
Ernsthofen,305,3
Behamberg,305,3
Ennsdorf,305,3
Gramatneusiedl,306,3
Mitterndorf an der Fischa,306,3
Unterwaltersdorf,306,3
Seibersdorf,306,3
Ebreichsdorf,306,3
Pottendorf,306,3
Baden,306,3
Sooß,306,3
Pfaffstätten,306,3
Tribuswinkel,306,3
Traiskirchen,306,3
Trumau,306,3
Oberwaltersdorf,306,3
Tattendorf,306,3
Teesdorf,306,3
Günselsdorf,306,3
Heiligenkreuz im Wienerwald,306,3
Klausen-Leopoldsdorf,306,3
Alland,306,3
Bad Vöslau,306,3
Kottingbrunn,306,3
Leobersdorf,306,3
Enzesfeld-Lindabrunn,306,3
Hirtenberg,306,3
Berndorf,306,3
Pottenstein,306,3
Weissenbach an der Triesting,306,3
Neuhaus,306,3
Altenmarkt-Thenneberg,306,3
Blumau-Neurißhof,306,3
Wien-Flughafen,307,3
Schwechat,307,3
Zwölfaxing,307,3
Himberg,307,3
Maria Lanzendorf,307,3
Leopoldsdorf,307,3
Fischamend,307,3
Maria Ellend,307,3
Regelsbrunn,307,3
Petronell,307,3
Bad Deutsch Altenburg,307,3
Hainburg an der Donau,307,3
Wolfsthal,307,3
Kleinneusiedl,307,3
Schwadorf,307,3
Margarethen am Moos,307,3
Götzendorf an der Leitha,307,3
Ebergassing,307,3
Hof am Leithaberge,307,3
Mannersdorf am Leithagebirge,307,3
Sommerein,307,3
Trautmannsdorf an der Leitha,307,3
Stixneusiedl,307,3
Göttlesbrunn,307,3
Höflein,307,3
Rohrau,307,3
Prellenkirchen,307,3
Dobermannsdorf,308,3
Palterndorf,308,3
Neusiedl an der Zaya,308,3
Hauskirchen,308,3
Prinzendorf an der Zaya,308,3
Auersthal,308,3
Raggendorf,308,3
Groß Schweinbarth,308,3
Bad Pirawarth,308,3
Hohenruppersdorf,308,3
Obersulz,308,3
Zistersdorf,308,3
Gänserndorf,308,3
Strasshof an der Nordbahn,308,3
Deutsch Wagram,308,3
Schönkirchen,308,3
Prottes,308,3
Matzen,308,3
Spannberg,308,3
Velm-Götzendorf,308,3
Ebenthal,308,3
Ollersdorf,308,3
Weikendorf,308,3
Angern an der March,308,3
Stillfried,308,3
Dürnkrut,308,3
Jedenspeigen,308,3
Drösing,308,3
Niederabsdorf,308,3
Hohenau an der March,308,3
Glinzendorf,308,3
Raasdorf,308,3
Markgrafneusiedl,308,3
Obersiebenbrunn,308,3
Untersiebenbrunn,308,3
Leopoldsdorf im Marchfelde,308,3
Haringsee,308,3
Lassee,308,3
Engelhartstetten,308,3
Marchegg Stadt,308,3
Marchegg Bahnhof,308,3
Oberweiden,308,3
Groß-Enzersdorf,308,3
Orth an der Donau,308,3
Eckartsau,308,3
Heidenreichstein,309,3
Eggern,309,3
Eisgarn,309,3
Reingers,309,3
Nagelberg,309,3
Langegg,309,3
Brand,309,3
Litschau,309,3
Großschönau,309,3
Jagenbach,309,3
Kirchberg am Walde,309,3
Hirschbach,309,3
Schrems,309,3
Pürbach,309,3
Hoheneich,309,3
Gmünd,309,3
Waldenstein,309,3
Heinrichs bei Weitra,309,3
Weitra,309,3
St. Martin,309,3
Bad Großpertholz,309,3
Göllersdorf,310,3
Breitenwaida,310,3
Hollabrunn,310,3
Immendorf,310,3
Nappersdorf,310,3
Mailberg,310,3
Eggendorf im Thale,310,3
Kammersdorf,310,3
Wullersdorf,310,3
Guntersdorf,310,3
Zellerndorf,310,3
Pernersdorf-Pfaffendorf,310,3
Jetzelsdorf,310,3
Haugsdorf,310,3
Hadres,310,3
Seefeld-Großkadolz,310,3
Retz,310,3
Schrattenthal,310,3
Unterretzbach,310,3
Niederfladnitz,310,3
Hardegg,310,3
Pleißing,310,3
Riegersburg,310,3
Hohenwarth,310,3
Mühlbach am Manhartsberg,310,3
Glaubendorf,310,3
Ziersdorf,310,3
Großmeiseldorf,310,3
Maissau,310,3
Harmannsdorf,310,3
Sitzendorf an der Schmida,310,3
Ravelsbach,310,3
Limberg,310,3
Pulkau,310,3
Theras,310,3
Weitersfeld,311,3
Langau,311,3
Geras,311,3
Zissersdorf,311,3
Drosendorf,311,3
Gars am Kamp,311,3
Rosenburg,311,3
Horn,311,3
Altenburg,311,3
Röhrenbach,311,3
Brunn an der Wild,311,3
Straning,311,3
Eggenburg,311,3
Röschitz,311,3
Stockern,311,3
Sigmundsherberg,311,3
Walkenstein,311,3
Hötzelsdorf,311,3
Irnfritz,311,3
Messern,311,3
Japons,311,3
Aigen,311,3
Stockerau,312,3
Großmugl,312,3
Leitzersdorf,312,3
Niederhollabrunn,312,3
Sierndorf,312,3
Enzersdorf im Thale,312,3
Korneuburg,312,3
Bisamberg,312,3
Langenzersdorf,312,3
Spillern,312,3
Oberrohrbach,312,3
Rückersdorf-Harmannsdorf,312,3
Würnitz,312,3
Karnabrunn,312,3
Großrußbach,312,3
Ernstbrunn,312,3
Gerasdorf,312,3
Enzersfeld,312,3
Stetteldorf am Wagram,312,3
Hausleiten,312,3
Niederrußbach,312,3
Gansbach,313,3
Haitzendorf,313,3
Straß im Straßertale,313,3
Etsdorf am Kamp,313,3
Hadersdorf am Kamp,313,3
Gedersdorf,313,3
Rohrendorf bei Krems,313,3
Paudorf,313,3
Furth bei Göttweig,313,3
Mautern,313,3
Obermeisling,313,3
Lichtenau,313,3
Rastenfeld,313,3
Senftenberg,313,3
Gföhl,313,3
Krumau am Kamp,313,3
Idolsberg,313,3
Langenlois,313,3
Lengenfeld,313,3
Schiltern,313,3
Zöbing,313,3
Schönberg,313,3
Plank am Kamp,313,3
St. Leonhard am Hornerwald,313,3
Dürnstein,313,3
Rossatz,313,3
Weißenkirchen in der Wachau,313,3
Großheinrichschlag,313,3
Albrechtsberg an der Großen Krems,313,3
Spitz,313,3
Mitterarnsdorf,313,3
Mühldorf,313,3
Aggsbach Markt,313,3
Maria Laach am Jauerling,313,3
Eschenau,314,3
Traisen,314,3
St. Veit an der Gölsen,314,3
Rainfeld,314,3
Rohrbach,314,3
Hainfeld,314,3
Kleinzell-Salzerbad,314,3
Ramsau,314,3
Lilienfeld,314,3
Freiland,314,3
Türnitz,314,3
Hohenberg,314,3
St. Aegyd am Neuwalde,314,3
Kernhof,314,3
Annaberg,314,3
Wienerbruck,314,3
Mitterbach,314,3
Kaumberg,314,3
Frein an der Mürz,314,3
Bischofstetten,315,3
Kilb,315,3
Mank,315,3
Kirnberg an der Mank,315,3
Texing,315,3
St. Leonhard am Forst,315,3
Ruprechtshofen,315,3
Petzenkirchen,315,3
Erlauf,315,3
Bergland,315,3
Ybbs an der Donau,315,3
Neumarkt an der Ybbs,315,3
Blindenmarkt,315,3
Kemmelbach,315,3
Säusenstein,315,3
Krummnußbaum,315,3
St. Martin-Karlsbach,315,3
Pöchlarn,315,3
Golling,315,3
Loosdorf,315,3
Hürm,315,3
Melk,315,3
Schönbühel an der Donau,315,3
Matzleinsdorf,315,3
Aggsbach Dorf,315,3
Emmersdorf an der Donau,315,3
Pöggstall,315,3
Leiben,315,3
Weiten,315,3
Raxendorf,315,3
Klein-Pöchlarn,315,3
Artstetten,315,3
Münichreith,315,3
Laimbach am Ostrong,315,3
Marbach an der Donau,315,3
Maria Taferl,315,3
Persenbeug,315,3
Hofamt Priel,315,3
Yspertal,315,3
St. Oswald,315,3
Nöchling,315,3
Dorfstetten,315,3
Großharras,316,3
Zwingendorf,316,3
Wulzeshofen,316,3
Niederleis,316,3
Wolkersdorf im Weinviertel,316,3
Ulrichskirchen,316,3
Schleinbach,316,3
Niederkreuzstetten,316,3
Neubau,316,3
Ladendorf,316,3
Mistelbach,316,3
Frättingsdorf,316,3
Loosdorf,316,3
Staatz-Kautendorf,316,3
Neudorf im Weinviertel,316,3
Laa an der Thaya,316,3
Ameis,316,3
Großkrut,316,3
Altlichtenwarth,316,3
Hausbrunn,316,3
Asparn an der Zaya,316,3
Gnadendorf,316,3
Stronsdorf,316,3
Unterstinkenbrunn,316,3
Poysbrunn,316,3
Falkenstein,316,3
Ottenthal,316,3
Wildendürnbach,316,3
Drasenhofen,316,3
Poysdorf,316,3
Herrnbaumgarten,316,3
Schrattenberg,316,3
Gaweinstal,316,3
Kettlasbrunn,316,3
Wilfersdorf,316,3
Großebersdorf,316,3
Pillichsdorf,316,3
Großengersdorf,316,3
Bockfließ,316,3
Rabensburg,316,3
Bernhardsthal,316,3
Reintal,316,3
Vösendorf,317,3
Hennersdorf,317,3
Mödling,317,3
Maria Enzersdorf,317,3
Brunn am Gebirge,317,3
Wiener Neudorf,317,3
Gumpoldskirchen,317,3
Guntramsdorf,317,3
Laxenburg,317,3
Biedermannsdorf,317,3
Hinterbrühl,317,3
Gießhübl,317,3
Perchtoldsdorf,317,3
Laab im Walde,317,3
Breitenfurt bei Wien,317,3
Kaltenleutgeben,317,3
Sulz im Wienerwald,317,3
Sittendorf,317,3
Achau,317,3
Münchendorf,317,3
Gaaden,317,3
Neunkirchen,318,3
Breitenau,318,3
Schwarzau am Steinfelde,318,3
Ternitz,318,3
Sieding-Stixenstein,318,3
Wimpassing im Schwarzatale,318,3
Gloggnitz,318,3
Schottwien,318,3
Payerbach,318,3
Reichenau an der Rax,318,3
Naßwald,318,3
Schwarzau im Gebirge,318,3
Küb,318,3
Breitenstein,318,3
Semmering,318,3
St. Egyden am Steinfeld,318,3
Willendorf,318,3
Grünbach am Schneeberg,318,3
Puchberg am Schneeberg,318,3
Pitten,318,3
Seebenstein,318,3
Warth,318,3
Thernberg,318,3
Grimmenstein,318,3
Edlitz,318,3
Aspang,318,3
Zöbern,318,3
Mönichkirchen,318,3
Feistritz am Wechsel,318,3
Kirchberg am Wechsel,318,3
Trattenbach,318,3
Tauchen-Schaueregg,318,3
Michelbach,319,3
Neidling,319,3
Karlstetten,319,3
Obritzberg,319,3
Oberwölbling,319,3
Statzendorf,319,3
Herzogenburg,319,3
Getzersdorf,319,3
Traismauer,319,3
Nußdorf,319,3
Pottenbrunn,319,3
Kapelln,319,3
Perschling,319,3
Pyhra,319,3
Wald,319,3
Wilhelmsburg,319,3
Ober-Grafendorf,319,3
Hofstetten,319,3
Rabenstein an der Pielach,319,3
Kirchberg an der Pielach,319,3
Weinburg,319,3
Loich,319,3
Schwarzenbach an der Pielach,319,3
Frankenfels,319,3
St. Margarethen an der Sierning,319,3
Mauerbach,319,3
Purkersdorf,319,3
Gablitz,319,3
Ried am Riederberg,319,3
Untertullnerbach,319,3
Wolfsgraben,319,3
Tullnerbach-Lawies,319,3
Pressbaum,319,3
Rekawinkel,319,3
Eichgraben,319,3
Altlengbach,319,3
Maria Anzbach,319,3
Neulengbach,319,3
Asperhofen,319,3
St. Christophen,319,3
Innermanzing,319,3
Laaben,319,3
Ollersbach,319,3
Kirchstetten,319,3
Böheimkirchen,319,3
Kasten bei Böheimkirchen,319,3
Stössing,319,3
Groß Sierning,319,3
Prinzersdorf,319,3
Hafnerbach,319,3
Puchenstuben,320,3
Gösing an der Mariazellerbahn,320,3
Wieselburg,320,3
Purgstall,320,3
Steinakirchen am Forst,320,3
Wang,320,3
Randegg,320,3
Gresten,320,3
Scheibbs,320,3
Oberndorf an der Melk,320,3
St. Georgen an der Leys,320,3
St. Anton an der Jeßnitz,320,3
Kienberg,320,3
Gaming,320,3
Lunz am See,320,3
Lackenhof,320,3
Göstling an der Ybbs,320,3
Würmla,321,3
Klosterneuburg,321,3
Hintersdorf,321,3
Kritzendorf,321,3
Höflein an der Donau,321,3
Greifenstein,321,3
St. Andrä-Wördern,321,3
Zeiselmauer,321,3
Langenlebarn,321,3
Muckendorf-Wipfing,321,3
Tulln an der Donau,321,3
Königstetten,321,3
Tulbing,321,3
Zwentendorf an der Donau,321,3
Judenau,321,3
Langenrohr,321,3
Sieghartskirchen,321,3
Michelhausen,321,3
Atzenbrugg,321,3
Sitzenberg-Reidling,321,3
Absdorf,321,3
Königsbrunn am Wagram,321,3
Kirchberg am Wagram,321,3
Großriedenthal,321,3
Altenwörth,321,3
Fels am Wagram,321,3
Gösing am Wagram,321,3
Feuersbrunn,321,3
Grafenwörth,321,3
Großweikersdorf,321,3
Ludweis,322,3
Groß Siegharts,322,3
Dietmanns,322,3
Raabs an der Thaya,322,3
Karlstein an der Thaya,322,3
Weikertschlag an der Thaya,322,3
Großau,322,3
Waidhofen an der Thaya,322,3
Pfaffenschlag bei Waidhofen an der Thaya,322,3
Windigsteig,322,3
Thaya,322,3
Dobersberg,322,3
Waldkirchen an der Thaya,322,3
Kautzen,322,3
Gastern,322,3
Vitis,322,3
Ebenfurth,323,3
Eggendorf,323,3
Lichtenwörth-Nadelburg,323,3
Sollenau,323,3
Felixdorf,323,3
Theresienfeld,323,3
Rohr im Gebirge,323,3
Bad Fischau,323,3
Winzendorf,323,3
Muthmannsdorf,323,3
Hohe Wand-Stollhof,323,3
Steinabrückl,323,3
Wöllersdorf,323,3
Markt Piesting,323,3
Waldegg,323,3
Oed,323,3
Miesenbach,323,3
Pernitz,323,3
Gutenstein,323,3
Katzelsdorf,323,3
Hochwolkersdorf,323,3
Schwarzenbach,323,3
Wiesmath,323,3
Hollenthon,323,3
Lichtenegg,323,3
Lanzenkirchen,323,3
Bad Erlach,323,3
Bromberg,323,3
Krumbach,323,3
Hochneukirchen,323,3
Bad Schönau,323,3
Kirchschlag in der Buckligen Welt,323,3
Grainbrunn,325,3
Sallingberg,325,3
Niedernondorf,325,3
Friedersbach,325,3
Neupölla,325,3
Franzen,325,3
Kottes,325,3
Ottenschlag,325,3
Bad Traunstein,325,3
Schönbach,325,3
Martinsberg,325,3
Gutenbrunn,325,3
Göpfritz an der Wild,325,3
Allentsteig,325,3
Kirchberg an der Wild,325,3
Schwarzenau,325,3
Echsenbach,325,3
Zwettl,325,3
Rappottenstein,325,3
Grafenschlag,325,3
Großgöttfritz,325,3
Waldhausen,325,3
Groß Gerungs,325,3
Langschlag,325,3
Rosenau Schloß,325,3
Arbesbach,325,3
Schweiggers,325,3
Karlstift,325,3
Linz,401,4
Steyr,402,4
Wels,403,4
Wildenau,404,4
Altheim,404,4
Polling im Innkreis,404,4
Weng im Innkreis,404,4
Mining,404,4
St. Peter am Hart,404,4
St. Pantaleon,404,4
Ostermiething,404,4
Ach,404,4
Überackern,404,4
Franking,404,4
Geretsberg,404,4
Gilgenberg am Weilhart,404,4
Schwand im Innkreis,404,4
Moosdorf,404,4
Eggelsberg,404,4
Feldkirchen bei Mattighofen,404,4
Handenberg,404,4
Neukirchen an der Enknach,404,4
Mattsee,404,4
Perwang am Grabensee,404,4
Friedburg,404,4
Schneegattern,404,4
Lochen am See,404,4
Munderfing,404,4
Pfaffstätt,404,4
Auerbach,404,4
Jeging,404,4
Mattighofen,404,4
Schalchen,404,4
Kirchberg bei Mattighofen,404,4
Pischelsdorf am Engelbach,404,4
Maria Schmolln,404,4
St. Johann am Walde,404,4
Höhnhart,404,4
Aspach,404,4
Uttendorf,404,4
Mauerkirchen,404,4
Moosbach,404,4
Treubach,404,4
Roßbach,404,4
Burgkirchen,404,4
Braunau am Inn,404,4
Braunau,404,4
Scharten,405,4
Prambachkirchen,405,4
Eferding,405,4
Alkoven,405,4
Stroheim,405,4
Breitenaich,405,4
St. Marienkirchen an der Polsenz,405,4
Hartkirchen,405,4
Aschach an der Donau,405,4
Haibach ob der Donau,405,4
Gallneukirchen,406,4
Neumarkt im Mühlkreis,406,4
Wartberg ob der Aist,406,4
Pregarten,406,4
Hagenberg im Mühlkreis,406,4
Freistadt,406,4
Hirschbach im Mühlkreis,406,4
Sandl,406,4
Liebenau,406,4
Rainbach im Mühlkreis,406,4
Leopoldschlag,406,4
Windhaag bei Freistadt,406,4
Grünbach,406,4
St. Oswald bei Freistadt,406,4
Weitersfelden,406,4
Unterweißenbach,406,4
Schönau im Mühlkreis,406,4
Königswiesen,406,4
Mönchdorf,406,4
Pierbach,406,4
Bad Zell,406,4
Tragwein,406,4
Lasberg,406,4
Kefermarkt,406,4
Gutau,406,4
St. Leonhard bei Freistadt,406,4
Scharnstein,407,4
Grünau im Almtal,407,4
Vorchdorf,407,4
Kirchham,407,4
Roitham am Traunfall,407,4
Steyrermühl,407,4
Laakirchen,407,4
Oberweis,407,4
Ohlsdorf,407,4
Traunkirchen,407,4
Ebensee,407,4
Gmunden,407,4
Pinsdorf,407,4
Altmünster,407,4
Gschwandt,407,4
St. Konrad,407,4
Bad Ischl,407,4
Lauffen,407,4
Bad Goisern am Hallstättersee,407,4
Steeg,407,4
Gosau,407,4
Gosau-Hintertal,407,4
Hallstatt,407,4
Obertraun,407,4
Rutzenmoos,407,4
St. Wolfgang im Salzkammergut,407,4
Kematen am Innbach,408,4
Gaspoltshofen,408,4
Altenhof am Hausruck,408,4
Weibern,408,4
Aistersheim,408,4
Haag am Hausruck,408,4
Rottenbach,408,4
Geboltskirchen,408,4
Bad Schallerbach,408,4
Wallern an der Trattnach,408,4
Schlüßlberg,408,4
Grieskirchen,408,4
Michaelnbach,408,4
Gallspach,408,4
Meggenhofen,408,4
Taufkirchen an der Trattnach,408,4
Hofkirchen an der Trattnach,408,4
Neumarkt im Hausruckkreis,408,4
Peuerbach,408,4
Natternbach,408,4
Neukirchen am Walde,408,4
Waizenkirchen,408,4
St. Thomas,408,4
Heiligenberg,408,4
Wendling,408,4
Pram,408,4
St. Agatha,408,4
Steinbach an der Steyr,409,4
Pettenbach,409,4
Nußbach,409,4
Kremsmünster,409,4
Ried im Traunkreis,409,4
Wartberg an der Krems,409,4
Schlierbach,409,4
Oberschlierbach,409,4
Kirchdorf an der Krems,409,4
Steinbach am Ziehberg,409,4
Micheldorf,409,4
Klaus an der Pyhrnbahn,409,4
Inzersdorf im Kremstal,409,4
Steyrling,409,4
St. Pankraz,409,4
Hinterstoder,409,4
Vorderstoder,409,4
Roßleithen,409,4
Windischgarsten,409,4
Rosenau am Hengstpaß,409,4
Spital am Pyhrn,409,4
Molln,409,4
Leonstein,409,4
Obergrünburg,409,4
Grünburg,409,4
Eggendorf im Traunkreis,410,4
Traun,410,4
Ansfelden,410,4
Haid,410,4
Pucking,410,4
Leonding,410,4
Pasching,410,4
Thening,410,4
Hörsching,410,4
Oftering,410,4
Wilhering,410,4
Enns,410,4
Asten,410,4
Hargelsberg,410,4
Kronstorf,410,4
St. Florian,410,4
Niederneukirchen,410,4
Hofkirchen im Traunkreis,410,4
Neuhofen an der Krems,410,4
St. Marien,410,4
Allhaming,410,4
Kematen an der Krems,410,4
Piberbach,410,4
